shard_number,txn_hash,from_address,to_address,age,txn_value,txn_fee
0,0xbe6...b97e5,one1w...2xt26,one1r...aggs4,08/18/2020 17:22:32 MDT,599999.999,0.000021
0,0x2de...9bbd9,one1j...u04u8,one1x...n5949,08/18/2020 17:18:02 MDT,0,0.01000001
0,0x380...d80d7,one1j...u04u8,one1x...n5949,08/18/2020 17:13:02 MDT,0,0.01000001
0,0x863...93e88,one15...9m8h2,one1z...ysz5l,08/18/2020 17:10:27 MDT,346,0.000021
0,0x1d0...73cba,one1j...u04u8,one1x...n5949,08/18/2020 17:08:02 MDT,0,0.01000001
0,0xf1d...a69e4,one10...tfwaz,one1w...2xt26,08/18/2020 17:05:27 MDT,3423581,0.000021
0,0xba8...cd450,one1j...u04u8,one1x...n5949,08/18/2020 17:03:06 MDT,0,0.01000001
0,0xb33...0d090,one1t...2r54m,one10...p6gwz,08/18/2020 17:00:16 MDT,11,0.000021
0,0xffd...eb083,one1j...u04u8,one1x...n5949,08/18/2020 16:58:06 MDT,0,0.01000001
0,0xe38...dddc7,one1j...u04u8,one1x...n5949,08/18/2020 16:53:06 MDT,0,0.01000001
0,0xd8c...53840,one1w...2xt26,one1y...rmf80,08/18/2020 16:52:21 MDT,1331127.156,0.000021
0,0x13a...8abc3,one1j...u04u8,one1x...n5949,08/18/2020 16:48:06 MDT,0,0.01000001
0,0x2a2...70813,one1j...u04u8,one1x...n5949,08/18/2020 16:43:06 MDT,0,0.01000001
0,0x718...7426b,one1l...980lk,one1y...3s735,08/18/2020 16:41:46 MDT,0,0.0067219
0,0x78a...f23fc,one1j...u04u8,one1x...n5949,08/18/2020 16:38:06 MDT,0,0.01000001
0,0x636...d0df2,one1t...xkce3,one1q...8wd2t,08/18/2020 16:37:11 MDT,171813,0.00021
0,0x7e3...c9087,one1w...2xt26,one1t...xkce3,08/18/2020 16:36:16 MDT,171813,0.000021
0,0x8b3...b4b03,one1j...u04u8,one1x...n5949,08/18/2020 16:33:06 MDT,0,0.01000001
0,0x41a...8d4c2,one1v...a807q,one15...4awc9,08/18/2020 16:32:46 MDT,95768.75,0.000021
0,0x6d1...5bedd,one1v...a807q,one1h...hppre,08/18/2020 16:32:01 MDT,180306.4375,0.000021
0,0xf54...a57a5,one1v...a807q,one1a...prvdq,08/18/2020 16:31:26 MDT,8706.25,0.000021
0,0x6dd...57a89,one1t...2r54m,one10...p6gwz,08/18/2020 16:30:20 MDT,12,0.000021
0,0xa80...f570b,one1j...u04u8,one1x...n5949,08/18/2020 16:28:05 MDT,0,0.01000001
0,0x0d2...29684,one1p...ashr4,one1c...xfw2j,08/18/2020 16:23:13 MDT,108651,0.000021
0,0xbc9...ec1e7,one1j...u04u8,one1x...n5949,08/18/2020 16:23:03 MDT,0,0.01000001
0,0xeb5...7c6b5,one1m...kvnag,one1f...7pmf5,08/18/2020 16:19:11 MDT,16007.3833,0
0,0xba1...a87d7,one1j...u04u8,one1x...n5949,08/18/2020 16:13:05 MDT,0,0.01000001
0,0x9a0...275ed,one1j...u04u8,one1x...n5949,08/18/2020 16:08:08 MDT,0,0.01000001
0,0x00a...bd666,one1w...2xt26,one1r...57uxv,08/18/2020 16:08:03 MDT,83938,0.000021
0,0xa75...e5ecf,one1j...u04u8,one1x...n5949,08/18/2020 16:03:06 MDT,0,0.01000001
0,0x3df...df50c,one1m...kvnag,one1r...6wvaj,08/18/2020 16:00:56 MDT,25648.6506,0
0,0x258...cc903,one1t...2r54m,one10...p6gwz,08/18/2020 16:00:20 MDT,12,0.000021
